URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA,Lot Size,Garage Spaces,Floor Type,Heat Type,Cool Type,Tax Amount,Zip Code,Noise Level,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/6171-Canter-Glen-Ave-89122/home/29482181,0,15,34,Cynthia Cunningham Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"6171 Canter Glen Ave,Las Vegas,NV89122",410000,2,2,1570,"$2,699 ",23 hours,2007,"Residential, Single Family Residence",One Story,$115 ,"6,970",2,"Carpet, Tile","Central, Gas","Central Air, Electric",1543,89122,Low,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4051-Shetland-Pony-St-89122/home/29481807,5,34,27,Cynthia Cunningham Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"4051 Shetland Pony St,Las Vegas,NV89122",435000,3,2,1925,"$2,830 ",23 hours,2008,"Residential, Single Family Residence",One Story,$60 ,"5,227",2,"Carpet, Tile","Central, Gas","Central Air, Electric",1988,89122,Low,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3154-Downing-Pl-89121/home/29509354,34,40,59,Lewis E Rowe Elementary School,7,C W Woodbury Middle School,2,Del Sol High School,3,"3154 Downing Pl,Las Vegas,NV89121",540000,3,2.5,2372,"$3,396 ",27 hours,1975,"Residential, Single Family Residence",One Story,0,"6,970",2,"Carpet, Luxury Vinyl Plank, Tile","Central, Gas","Central Air, Electric",1956,89121,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6380-Tumblegrass-Ct-89122/home/29030151,0,20,35,Cynthia Cunningham Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"6380 Tumblegrass Ct,Las Vegas,NV89122",345000,3,2.5,1601,"$2,232 ",33 hours,2005,"Residential, Single Family Residence",Two Story,$65 ,"3,049",2,"Carpet, Linoleum, Vinyl","Central, Gas","Central Air, Electric",1211,89122,Low,Minimal,Major,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2688-Par-Four-Ln-89142/home/29415265,35,42,43,,,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"2688 Par Four Ln,Las Vegas,NV89142",329900,3,2,1315,"$2,086 ",35 hours,1987,"Residential, Single Family Residence",One Story,$31 ,"4,792",2,Tile,"Central, Gas","Central Air, Electric",957,89142,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4298-Cicada-Way-89121/home/29420357,36,44,58,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"4298 Cicada Way,Las Vegas,NV89121",419999,3,2,1598,"$2,605 ",35 hours,1974,"Residential, Single Family Residence",One Story,0,"6,534",2,"Linoleum, Vinyl","Central, Gas","Central Air, Electric",1077,89121,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4079-El-Segundo-Ave-89121/home/29412790,34,44,72,Laura Dearing Elementary School,4,Jerome MacK Middle School,3,Chaparral High School,2,"4079 El Segundo Ave,Las Vegas,NV89121",345000,3,2,1296,"$2,145 ",35 hours,1964,"Residential, Single Family Residence",One Story,0,"6,970",2,"Carpet, Ceramic Tile, Laminate","Central, Gas","Central Air, Electric",946,89121,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1621-Sunrise-View-Dr-89156/home/29370740,15,33,30,Mountain View Elementary School,4,Dr. William (bob) H Bailey Middle School,3,Sunrise Mountain High School,1,"1621 Sunrise View Dr,Las Vegas,NV89156",375000,3,2,1340,"$2,342 ",1 day,1991,"Residential, Single Family Residence",One Story,0,"6,098",2,"Carpet, Ceramic Tile, Linoleum, Vinyl","Central, Gas","Central Air, Electric",1155,89156,Low,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4420-Dover-Straight-St-89115/home/29813962,47,45,50,Zel & Mary Lowman Elementary School,3,Carroll M Johnston Middle School,4,Mojave High School,1,"4420 Dover Straight St,Las Vegas,NV89115",345990,4,3,1618,"$2,334 ",1 day,2009,"Residential, Single Family Residence",Two Story,$148 ,"2,614",2,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",1368,89115,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3927-Saddlewood-Ct-89121/home/29474253,55,44,51,George E Harris Elementary School,4,William E Orr Middle School,3,Valley High School,1,"3927 Saddlewood Ct,Las Vegas,NV89121",344900,3,2,1942,"$2,479 ",1 day,1989,"Residential, Townhouse",One Story,$298 ,"4,356",2,"Carpet, Tile","Central, Gas","Central Air, Electric",1394,89121,Medium,Minimal,Minimal,Severe,Minimal
